Date,Active_Lever_Presses,Inactive_Lever_Presses,Session_Number,Stage,Animal.ID,Genotype,Drug,Dose
2018-09-25,1327,5,3,PR 2HR + ATO,70,WT,Saline,0
2018-07-23,25,0,1,FR1 SL,66,WT,,
2018-07-24,108,0,2,FR1 SL,66,WT,,
2018-07-25,122,0,3,FR1 SL,66,WT,,
2018-07-26,128,0,4,FR1 SL,66,WT,,
2018-07-27,118,21,1,FR1 DL,66,WT,,
2018-07-30,87,27,2,FR1 DL,66,WT,,
2018-07-31,121,7,3,FR1 DL,66,WT,,
2018-08-01,142,11,4,FR1 DL,66,WT,,
2018-08-02,339,7,1,FR3,66,WT,,
2018-08-03,333,6,2,FR3,66,WT,,
2018-08-06,298,10,3,FR3,66,WT,,
2018-08-07,303,11,4,FR3,66,WT,,
2018-08-08,526,15,1,FR5,66,WT,,
2018-08-09,505,14,2,FR5,66,WT,,
2018-08-10,545,11,3,FR5,66,WT,,
2018-08-13,435,13,4,FR5,66,WT,,
2018-08-14,80,8,1,FR5 DEVAL,66,WT,,
2018-08-15,312,8,5,FR5,66,WT,,
2018-08-16,221,10,6,FR5,66,WT,,
2018-08-17,58,13,2,FR5 DEVAL,66,WT,,
2018-08-20,375,12,7,FR5,66,WT,,
2018-08-21,490,7,8,FR5,66,WT,,
2018-08-22,694,4,9,FR5,66,WT,,
2018-08-23,710,13,10,FR5,66,WT,,
2018-08-24,770,12,11,FR5,66,WT,,
2018-08-27,572,12,12,FR5,66,WT,,
2018-08-28,725,37,1,PR 2HR,66,WT,,
2018-08-29,600,16,13,FR5,66,WT,,
2018-08-30,816,20,2,PR 2HR,66,WT,,
2018-08-31,579,4,14,FR5,66,WT,,
2018-09-03,615,4,15,FR5,66,WT,,
2018-09-04,764,25,3,PR 2HR,66,WT,,
2018-09-05,490,7,16,FR5,66,WT,,
2018-09-06,927,23,1,PR DL/FR5 DL,66,WT,,
2018-09-07,656,14,2,FR5 DL/PR DL,66,WT,,
2018-09-10,630,10,17,FR5,66,WT,,
2018-09-11,794,13,1,PR 2HR + ATO,66,WT,Saline,0
2018-09-12,671,9,18,FR5,66,WT,,
2018-09-13,767,11,4,PR 2HR,66,WT,,
2018-09-14,587,5,19,FR5,66,WT,,
2018-09-17,550,10,20,FR5,66,WT,,
2018-09-18,410,8,2,PR 2HR + ATO,66,WT,ATO,3
2018-09-19,614,6,21,FR5,66,WT,,
2018-09-20,845,15,5,PR 2HR,66,WT,,
2018-09-21,608,4,22,FR5,66,WT,,
2018-09-24,564,2,23,FR5,66,WT,,
2018-09-25,786,21,3,PR 2HR + ATO,66,WT,ATO,1
2018-07-23,6,0,1,FR1 SL,67,WT,,
2018-07-24,42,0,2,FR1 SL,67,WT,,
2018-07-25,69,0,3,FR1 SL,67,WT,,
